
Luke1

January   FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
February  FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
March     FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
April     FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
May       FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
June      FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
July      FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
August    FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
September FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
October   FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 39.000000 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
November  FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 100.000000 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
December  FOOD: 0 | RENT: 0 | ENTERTAINMENT: 0 | TUITION: 0 | SAVINGS: 0 | MISC: 0 | FOODBUDGET: 0 | RENTBUDGET: 0 | ENTERTAINMENTBUDGET: 0 | TUITIONBUDGET: 0 | SAVINGSBUDGET: 0 | MISCBUDGET: 0
